Scientific Name | Nom scientifique,Taxonomic Kingdom | Règne taxonomique,Taxonomic Rank | Rang taxonomique,Province/Territory | Province/territoire,Province/Territory Code | Code du Province/territoire,Country | Pays,Country Code | Code du pays,Collection Code | Code de la collection
"Helicotylenchus pseudorobustus (Steiner, 1914) Golden, 1956",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Helicotylenchus spitsbergensis Loof, 1971",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Heterodera avenae Wollenweber, 1924",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Heterodera humuli Filipjev, 1934",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Heterodera trifolii Goffart, 1932",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Longidorus elongatus (de Man, 1876) Micoletzky, 1922",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Meloidogyne arenaria (Neal, 1889) Chitwood, 1949",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Meloidogyne hapla Chitwood, 1949",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Meloidogyne javanica (Treub, 1885) Chitwood, 1949",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Mermis nigrescens Dujardin, 1842",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Mononchus truncatus Bastian, 1865",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Nagelus leptus (Allen, 1955) Siddiqi, 1979",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Ogma seymouri (Wu, 1965) Siddiqi, 1986",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Oncholaimus skawensis Ditlevsen, 1921",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Panagrolaimus subelongatus (Cobb, 1914)",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Paratylenchus aculentus Brown, 1959",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Paratylenchus hamatus Thorne & Allen, 1950",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Paratylenchus projectus Jenkins, 1956",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Paratylenchus variabilis Raski, 1975",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Paratylenchus veruculatus Wu, 1962",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Pratylenchoides bacilisemenus Sher, 1970",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Pratylenchus crenatus Loof, 1960",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
